code,name,market,category,group
1101,台泥,TWSE,水泥工業,
1102,亞泥,TWSE,水泥工業,遠東集團
1103,嘉泥,TWSE,水泥工業,
1104,環泥,TWSE,水泥工業,
1108,幸福,TWSE,水泥工業,
1109,信大,TWSE,水泥工業,
1110,東泥,TWSE,水泥工業,
1201,味全,TWSE,食品工業,
1203,味王,TWSE,食品工業,
1210,大成,TWSE,食品工業,
1213,大飲,TWSE,食品工業,
1215,卜蜂,TWSE,食品工業,
1216,統一,TWSE,食品工業,統一集團
1217,愛之味,TWSE,食品工業,
1218,泰山,TWSE,食品工業,
1219,福壽,TWSE,食品工業,
1220,台榮,TWSE,食品工業,
1225,福懋油,TWSE,食品工業,
1227,佳格,TWSE,食品工業,
1229,聯華,TWSE,食品工業,
1231,聯華食,TWSE,食品工業,
1232,大統益,TWSE,食品工業,統一集團
1233,天仁,TWSE,食品工業,統一集團
1234,黑松,TWSE,食品工業,
1235,興泰,TWSE,食品工業,
1236,宏亞,TWSE,食品工業,
1256,鮮活果汁-KY,TWSE,食品工業,
1301,台塑,TWSE,塑膠工業,台塑集團
1303,南亞,TWSE,塑膠工業,台塑集團
1304,台聚,TWSE,塑膠工業,台塑集團
1305,華夏,TWSE,塑膠工業,
1307,三芳,TWSE,塑膠工業,
1308,亞聚,TWSE,塑膠工業,台塑集團
1309,台達化,TWSE,塑膠工業,
1310,台苯,TWSE,塑膠工業,台塑集團
1312,國喬,TWSE,塑膠工業,台塑集團
1313,聯成,TWSE,塑膠工業,台塑集團
1314,中石化,TWSE,塑膠工業,台塑集團
1315,達新,TWSE,塑膠工業,
1316,上曜,TWSE,建材營造業,
1319,東陽,TWSE,汽車工業,
1321,大洋,TWSE,塑膠工業,
1323,永裕,TWSE,塑膠工業,
1324,地球,TWSE,塑膠工業,
1325,恆大,TWSE,塑膠工業,
1326,台化,TWSE,塑膠工業,台塑集團
1337,再生-KY,TWSE,塑膠工業,統一集團
1338,廣華-KY,TWSE,汽車工業,
1339,昭輝,TWSE,汽車工業,
1340,勝悅-KY,TWSE,塑膠工業,
1341,富林-KY,TWSE,塑膠工業,
1342,八貫,TWSE,其他業,
1402,遠東新,TWSE,紡織纖維,遠東集團
1409,新纖,TWSE,紡織纖維,
1410,南染,TWSE,紡織纖維,
1413,宏洲,TWSE,紡織纖維,
1414,東和,TWSE,紡織纖維,
1416,廣豐,TWSE,其他業,
1417,嘉裕,TWSE,紡織纖維,
1418,東華,TWSE,紡織纖維,
1419,新紡,TWSE,紡織纖維,
1423,利華,TWSE,紡織纖維,
1432,大魯閣,TWSE,運動休閒,
1434,福懋,TWSE,紡織纖維,
1435,中福,TWSE,其他業,
1436,華友聯,TWSE,建材營造業,
1437,勤益控,TWSE,其他業,
1438,三地開發,TWSE,建材營造業,
1439,雋揚,TWSE,建材營造業,
1440,南紡,TWSE,紡織纖維,
1441,大東,TWSE,紡織纖維,
1442,名軒,TWSE,建材營造業,
1443,立益物流,TWSE,其他業,
1444,力麗,TWSE,紡織纖維,
1445,大宇,TWSE,紡織纖維,
1446,宏和,TWSE,紡織纖維,
1447,力鵬,TWSE,紡織纖維,
1449,佳和,TWSE,紡織纖維,
1451,年興,TWSE,紡織纖維,
1452,宏益,TWSE,紡織纖維,
1453,大將,TWSE,建材營造業,
1454,台富,TWSE,紡織纖維,
1455,集盛,TWSE,紡織纖維,
1456,怡華,TWSE,建材營造業,
1457,宜進,TWSE,紡織纖維,
1459,聯發,TWSE,紡織纖維,
1460,宏遠,TWSE,紡織纖維,
1463,強盛新,TWSE,紡織纖維,
1464,得力,TWSE,紡織纖維,
1465,偉全,TWSE,紡織纖維,
1466,聚隆,TWSE,紡織纖維,
1467,南緯,TWSE,紡織纖維,
1468,昶和,TWSE,紡織纖維,
1470,大統新創,TWSE,紡織纖維,
1471,首利,TWSE,電子零組件業,
1472,三洋實業,TWSE,建材營造業,
1473,台南,TWSE,紡織纖維,
1474,弘裕,TWSE,紡織纖維,
1475,業旺,TWSE,紡織纖維,
1476,儒鴻,TWSE,紡織纖維,
1477,聚陽,TWSE,紡織纖維,
1503,士電,TWSE,電機機械,
1504,東元,TWSE,電機機械,中信集團
1506,正道,TWSE,電機機械,
1512,瑞利,TWSE,汽車工業,
1513,中興電,TWSE,電機機械,
1514,亞力,TWSE,電機機械,
1515,力山,TWSE,電機機械,
1516,川飛,TWSE,其他業,
1517,利奇,TWSE,電機機械,
1519,華城,TWSE,電機機械,
1521,大億,TWSE,汽車工業,
1522,堤維西,TWSE,汽車工業,
1524,耿鼎,TWSE,汽車工業,
1525,江申,TWSE,汽車工業,
1526,日馳,TWSE,電機機械,
1527,鑽全,TWSE,電機機械,
1528,恩德,TWSE,電機機械,
1529,樂事綠能,TWSE,電機機械,
1530,亞崴,TWSE,電機機械,
1531,高林股,TWSE,電機機械,
1532,勤美,TWSE,電機機械,
1533,車王電,TWSE,汽車工業,
1535,中宇,TWSE,電機機械,
1536,和大,TWSE,汽車工業,
1537,廣隆,TWSE,電機機械,
1538,正峰,TWSE,電機機械,
1539,巨庭,TWSE,電機機械,
1540,喬福,TWSE,電機機械,
1541,錩泰,TWSE,電機機械,
1558,伸興,TWSE,電機機械,
1560,中砂,TWSE,電機機械,
1563,巧新,TWSE,汽車工業,
1568,倉佑,TWSE,汽車工業,
1582,信錦,TWSE,電子零組件業,
1583,程泰,TWSE,電機機械,
1587,吉茂,TWSE,汽車工業,
1589,永冠-KY,TWSE,電機機械,
1590,亞德客-KY,TWSE,電機機械,
1597,直得,TWSE,電機機械,
1598,岱宇,TWSE,運動休閒,
1603,華電,TWSE,電器電纜,
1604,聲寶,TWSE,電器電纜,
1605,華新,TWSE,電器電纜,華新麗華
1608,華榮,TWSE,電器電纜,
1609,大亞,TWSE,電器電纜,
1611,中電,TWSE,電器電纜,
1612,宏泰,TWSE,電器電纜,
1614,三洋電,TWSE,電器電纜,
1615,大山,TWSE,電器電纜,
1616,億泰,TWSE,電器電纜,
1617,榮星,TWSE,電器電纜,
1618,合機,TWSE,電器電纜,
1626,艾美特-KY,TWSE,電器電纜,
1702,南僑,TWSE,食品工業,
1707,葡萄王,TWSE,生技醫療業,統一集團
1708,東鹼,TWSE,化學工業,
1709,和益,TWSE,化學工業,
1710,東聯,TWSE,化學工業,遠東集團
1711,永光,TWSE,化學工業,
1712,興農,TWSE,化學工業,
1713,國化,TWSE,化學工業,
1714,和桐,TWSE,化學工業,
1717,長興,TWSE,化學工業,
1718,中纖,TWSE,化學工業,遠東集團
1720,生達,TWSE,生技醫療業,
1721,三晃,TWSE,化學工業,
1722,台肥,TWSE,化學工業,
1723,中碳,TWSE,化學工業,
1725,元禎,TWSE,化學工業,
1726,永記,TWSE,化學工業,
1727,中華化,TWSE,化學工業,
1730,花仙子,TWSE,化學工業,
1731,美吾華,TWSE,生技醫療業,
1732,毛寶,TWSE,化學工業,
1733,五鼎,TWSE,生技醫療業,
1734,杏輝,TWSE,生技醫療業,
1735,日勝化,TWSE,化學工業,
1736,喬山,TWSE,運動休閒,
1737,臺鹽,TWSE,食品工業,
1752,南光,TWSE,生技醫療業,
1760,寶齡富錦,TWSE,生技醫療業,
1762,中化生,TWSE,生技醫療業,
1773,勝一,TWSE,化學工業,
1776,展宇,TWSE,化學工業,
1783,和康生,TWSE,生技醫療業,
1786,科妍,TWSE,生技醫療業,
1789,神隆,TWSE,生技醫療業,
1795,美時,TWSE,生技醫療業,
1802,台玻,TWSE,玻璃陶瓷,
1805,寶徠,TWSE,建材營造業,
1806,冠軍,TWSE,玻璃陶瓷,
1808,潤隆,TWSE,建材營造業,
1809,中釉,TWSE,玻璃陶瓷,
1810,和成,TWSE,玻璃陶瓷,
1817,凱撒衛,TWSE,玻璃陶瓷,
1903,士紙,TWSE,造紙工業,
1904,正隆,TWSE,造紙工業,
1905,華紙,TWSE,造紙工業,
1906,寶隆,TWSE,造紙工業,
1907,永豐餘,TWSE,造紙工業,
1909,榮成,TWSE,造紙工業,
2002,中鋼,TWSE,鋼鐵工業,
2006,東和鋼鐵,TWSE,鋼鐵工業,
2007,燁興,TWSE,鋼鐵工業,
2008,高興昌,TWSE,鋼鐵工業,
2009,第一銅,TWSE,鋼鐵工業,
2010,春源,TWSE,鋼鐵工業,
2012,春雨,TWSE,鋼鐵工業,
2013,中鋼構,TWSE,鋼鐵工業,
2014,中鴻,TWSE,鋼鐵工業,
2015,豐興,TWSE,鋼鐵工業,
2017,官田鋼,TWSE,鋼鐵工業,
2020,美亞,TWSE,鋼鐵工業,
2022,聚亨,TWSE,鋼鐵工業,
2023,燁輝,TWSE,鋼鐵工業,
2024,志聯,TWSE,鋼鐵工業,
2025,千興,TWSE,鋼鐵工業,
2027,大成鋼,TWSE,鋼鐵工業,
2028,威致,TWSE,鋼鐵工業,
2029,盛餘,TWSE,鋼鐵工業,
2030,彰源,TWSE,鋼鐵工業,
2031,新光鋼,TWSE,鋼鐵工業,
2032,新鋼,TWSE,鋼鐵工業,
2033,佳大,TWSE,鋼鐵工業,
2034,允強,TWSE,鋼鐵工業,
2038,海光,TWSE,鋼鐵工業,
2049,上銀,TWSE,電機機械,
2059,川湖,TWSE,電子零組件業,
2062,橋椿,TWSE,居家生活,
2069,運錩,TWSE,鋼鐵工業,
2101,南港,TWSE,橡膠工業,
2102,泰豐,TWSE,橡膠工業,
2103,台橡,TWSE,橡膠工業,
